PublicationID,PublicationType,Title,Authors,CreationDate
39,Consultant Report/ Raport de consultant,Literature Review: Solid Phase Separation of Lanthanides and Actinides,"Nicolas Reynier, JF Fiset, Laurence Whitty-L√©veill√©, Dominic Lariviere",2016-04-15
40,Consultant Report/ Raport de consultant,"Review of Separation Technologies for REE, Techno Economic Analysis and Gaps (2016) - Laval University",Laval University,2016-04-07
41,Consultant Report/ Raport de consultant,Literature Review and Gaps Analysis of Rare Earth Element (REE) Metallurgical Extraction Methods,SGS Canada,2016-04-01
42,Consultant Report/ Raport de consultant,A Study of Coarse Ore Pre-Concentration and Potential Applicability to Canadian Rare Earth Deposits,J.R. Goode & Associates,2016-03-31
43,Consultant Report/ Raport de consultant,Literature Review of Naturally Occurring Radioactive Materials (NORM) and their Implications for a Developing Rare Earth Element Industry in Canada,Golder Associates Ltd,2016-03-31
44,Consultant Report/ Raport de consultant,Literature Review of Potential Ecotoxicological Effects Arising from Rare Earth Element (REE) Processing,Golder Associates Ltd,2016-03-31
45,Consultant Report/ Raport de consultant,Literature Review of the Concentration of Rare Earth Elements (REE) Through Flotation Processes,Universit√© Laval,2016-03-31
46,Consultant Report/ Raport de consultant,Literature Review on Secondary Sources of Rare Earth Elements (REE),Golder Associates Ltc,2016-03-31
47,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Application of the Environmental Transformation and Removal Protocol on Cadmium for Chronic Aquatic Hazard Classification,Philippa Huntsman; Ted Mackinnon,2021-02-09
48,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Normet Canada's Onaping Type and Leinster Style Self-Drilling Dynamic Bolts (SDDB) in Injectable Urea-Silicate Resin,"Devan MacDonald, Steve Gaines",2021-02-05
49,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Preliminary report on the assessment of the environmental transformation and removal of zinc from the water column,Philippa Huntsman,2021-01-19
50,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Assessing the Environmental Transformation and Removal of Zinc from the Water-Column for Chronic Aquatic Hazard Classification, Philippa Huntsman and Ted MacKinnon,2020-12-14
51,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Classification of metals and inorganic metal compounds for long-term environmental hazard:,"Stijn Baken and others, Philippa Huntsman",2020-12-14
52,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Standard Operating Procedure for Assessing the Environmental Transformation and Removal of Metals from the Water-Column for Aquatic Hazard Classification,Philippa Huntsman,2020-12-14
53,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,PROFICIENCY TESTING PROGRAM FOR MINERAL ANALYSIS LABORATORIES ‚Äì       April 2020 CYCLE (FINAL REPORT) ,diane desroches,2020-12-08
54,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,"√âvaluation des plans d‚Äôaction et de fermeture pour la protection de l‚Äôenvironnement √† l‚Äôexploitation mini√®re du Mont-Wright, Fermont, Qu√©bec","Nicolas Reynier, Jennifer Cole, Bill Price, Julie Deriaz, Nicolas Reynier",2020-11-04
55,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of DSI Underground Canada's Dynamix Bolts,,2020-10-07
56,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,:  PROFICIENCY TESTING PROGRAM FOR MINERAL ANALYSIS LABORATORIES ‚Äì   April 2020CYCLE (FINAL REPORT) ,Diane Desroches,2020-06-22
57,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of BASF MasterRoc RBA 380 Resin on Hollow and Solid Rock-Bolts,Ren√©e Royer et Devan MacDonald,2020-01-27
58,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of BASF MasterRoc RBA 387 Resin on Hollow and Solid Rock-Bolts,Ren√©e Royer et Devan MacDonald,2020-01-27
59,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,PROFICIENCY TESTING PROGRAM FOR MINERAL ANALYSIS LABORATORIES ‚Äì,Diane Desroches,2019-12-16
60,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of DSI Underground Canada‚Äôs Dynamix Bolts,Ren√©e Royer,2019-12-05
61,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Application of the Transformation/Dissolution Protocol Extension (T/DP-E) to low concentration copper solutions,Philippa Huntsman,2019-10-08
62,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Dynamic And Static Behaviours of the Normet Canada Pumpable Resin,Ren√©e Royer,2019-07-19
63,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,ProficiencyTesting Program for Mineral Analysis Laboratories- April 2019 Cycle (Final Report),Diane Desroches,2019-05-31
64,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,In-Service diesel engine emissions study in support of CSA Standards Development,"David Young, Brent Rubeli",2019-04-29
65,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,High Pulse Voltage Pre-Weakening on Goldex Ore,"Tony Di-Feo, Pejman Nekoovaght, Rolando Lastra, Marck Betournay",2019-04-03
66,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Vale Commercial Diesel Particulate Filter (DPF) Assessment ,Brent Rubeli,2019-02-07
67,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,R√©cup√©ration de chaleur sur l‚Äôeau de proc√©d√© d‚Äôun concentrateur minier,Yan Germain,2019-01-24
68,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,R√©cup√©ration de chaleur sur l‚Äôeau de proc√©d√© d‚Äôun concentrateur minier ,Yan Germain,2019-01-16
69,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Proficiency testing program for mineral analysis laboratories-Sept. 2018 Cycle (Final Report),Diane Desroches,2018-12-14
70,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Impact of three low-level biodiesel blended fuels on exhaust emissions from a mining diesel engine.,Brent Rubeli,2018-12-05
71,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Testing of Full-Scale Micro-Encapsulation Mortars Produced Using Attrition Vessels,"A. Bilodeau, A. Demers, M. Bilodeau, J. Kruszewski / C. Laviolette",2018-11-22
72,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Rock Solutions North EXI Bolt Generation 1,"Renee Royer, Devan MacDonald",2018-10-23
73,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Rock Solutions North EXI Bolt Generation 2,"Ren√©e Royer, Devan MacDonald",2018-10-23
74,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,"Legacy Cemented Radioactive Waste Management at Pilot scale, Quarterly report Q1 and Q2","Nicolas Reynier, J.F. Fiset, Alain Bilodeau",2018-10-15
75,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Dynamic Behaviours of the Normet Asia-Pacific Dbolts,Ren√©e Royer,2018-07-12
76,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of College Resources & Civil Engineering,"Ren√©e Royer, Devan MacDonald",2018-07-11
77,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Normet Asia Pacific D-Bolts,"Ren√©e Royer, Devan MacDonald",2018-07-11
78,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,The Feasibility of Separation of Rare Earth Elements by Use of Electrodialysis,Sanaz Mosadeghsedghi,2018-07-09
79,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Dynamic and Static Behaviours of the Mansour Mining Technologies Versa Bolts,"Renee Royer, Devan MacDonald",2018-06-06
80,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Dynamic and Static Behaviours of the DSI Underground Canada Yield-Lok Bolt,"Ren√©e Royer, Devan MacDonald",2018-05-16
81,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Proficiency Testing Program for Mineral Analysis Laboratories - April 2018 Cycle (Final Report),Diane Desroches,2018-05-14
82,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Metal removal from the Water Column: Rationale for selecting test parameters in the extended transformation-dissolution protocol ,P. Huntsman,2018-04-17
83,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Summary of Recent Science:  Metal Removal from Waters,"External Authors, Philippa Huntsman",2018-03-01
84,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Characterization of surrogate cemented radioactive waste-Effect of Aging,Jean Francois Fiset,2018-02-14
85,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Technology Optimization ‚Äì CRW Research: Performance of Cementing Matrices,A. Bilodeau,2018-02-14
86,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Normet Scandinavia DBolts and SDDB Bolts,"Ren√©e Royer, Devan MacDonald",2018-01-31
87,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Final Report: Combining grinding and leaching of surrogate cemented radioactive wastes,Nicolas Reynier,2018-01-11
88,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Proficiency testing program for mineral analysis laboratories-Sept. 2017 Cycle (Final Report),Diane Desroches,2018-01-10
89,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,"Rapid Removal and Resuspension Experiments for Copper, Cobalt and Strontium for Aquatic Hazard Classification","Philippa Huntsman, Rob Beaudoin",2018-01-08
90,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Laurential University's Versa-S and MCB-S Yielding,"Ren√©e Royer, Devan MacDonald",2017-12-18
91,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Laurentian University‚Äôs Versa-S and MCB-S Yielding Bolts  ,"Ren√©e Royer, Devan MacDonald",2017-12-18
92,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Technologies Optimization - CRW Researc Task B - Plastic and Metal Separation,"Magella Bilodeau, Andr√© Demers, Nabil Bouzoubaa, Marc Chapman",2017-12-08
93,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,√âvaluation de la performance du groupe d'√©quipements miniers S.A.M.S.,Andr√© Harvey,2017-10-10
94,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Rapid Removal and Re-suspension Data and Figures for Co and Cu,Philippa Huntsman-Mapila,2017-10-03
95,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Veille technologique sur v√©hicules miniers √† batteries,Andr√© Harvey,2017-08-08
96,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of RocBolt Technologies Yield-Lok Bolts ,"Ren√©e Royer, Ted Anderson",2017-07-04
97,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of New Concept Mining Par-1 and MP-1 Rock Bolts ,"Ren√©e Royer, Ted Anderson",2017-05-24
98,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Proficiency Testing Program for Mineral Analysis Laboratories - April 2017 Cycle - final report,Diane Desroches,2017-05-19
99,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Dynamic and Static Behaviours of the TONRY Mining Safety Support Technology E-Bolts ,"Ren√©e Royer, Ted Anderson",2017-05-17
100,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Mineralogical characterization of sediment and tailings samples from an oil sands operation: Implications on the potential sources and releases of arsenic to groundwater ,"Dogan Paktunc, Derek Smith",2017-04-26
101,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Technologies Optimization - CRW Research Q3 Report,"N. Bouzouba√¢, J-F. Fiset, M. Bilodeau, N. Reynier, A. Bilodeau",2017-04-06
102,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Technologies Optimization ‚Äì CRW Research Quarterly Report ‚Äì Q3 ,Nabil Bouzoubaa,2017-04-04
103,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Verification de la machine d'extraction a tambour double Nordberg serie 31451 du puits #1 de la mine Seleine,Louis Germain,2017-04-04
104,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d'extraction √† poulie d'adh√©rence ASEA s√©rie 391 du puits #2 de la mine Seleine,Louis Germain,2017-04-03
105,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Verification de la machine d'extraction a tambour simple Tiley serie 1692 du puits #2  de la mine Goldex,Louis Germain,2017-03-29
106,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction √† tambour double Nordberg  s√©rie 31451 du puits #1 de la mine Seleine. ,Louis Germain,2017-03-24
107,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d'extraction √† tambour double Nordberg s√©rie 7030-1161 de la mine Lapa,Louis Germain,2017-03-01
108,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of DSI Underground Canada Yield-Lok Bolts ,Ren√©e Royer,2017-02-24
109,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Accelerated leaching and recovery process for actinides-free separation of rare earth element ,Nicolas Reynier,2017-02-16
110,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Assessment of reproductive toxicity of groundwater to fathead minnow (Pimephales promelas) using a 7- and 21-day short-term reproductive bioassay ,"Carrie Rickwood, Melissa Desforges",2017-02-08
111,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d'extraction √† tambour double Bertram Nordberg s√©rei 31269 de la mine Kiena,Louis Germain,2017-02-07
112,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Proficiency Testing Program for Mineral Analysis Laboratories - September 2016 Cycle - final report,Diane Desroches,2017-01-25
113,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Sales Review for FY 2015-2016 for the Canadian Certified Reference Materials Project and Proficiency Testing Program ‚Äì Mineral Analysis Laboratories  ,Maureen Leaver,2017-01-20
114,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction √† tambour double Vulcan s√©rie 1485 de la mine Geant Dormant. ,Louis Germain,2017-01-11
115,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Examination of the Transformation/Dissolution Characteristics of Tungsten Disulphide for Aquatic Hazard Classfication ,Philippa Huntsman-Mapila,2017-01-10
116,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Proposal for the 2017 ‚Äì 2022 Production Plan for the Canadian Certified Reference Materials Project ,Maureen Leaver,2017-01-06
117,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction √† tambour double Bertram Nordberg s√©rie 13303 de la mine Beaufor. ,Louis Germain,2017-01-06
118,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Technologies Optimization - CRW Research Q2 Report,"N. Bouzouba√¢, J-F. Fiset, M. Bilodeau, N. Reynier, A. Bilodeau",2017-01-04
119,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Respirable Crystalline Silica Sampling in Saskatchewan Potash Mines  ,Michel Grenier,2016-12-08
120,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Method Optimization for determining the removal of metals from the water column under Transformation/Dissolution conditions for hazard classification ,Philippa Huntsman-Mapila,2016-12-01
121,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,"V√©rification de la machine d‚Äôextraction √† tambour double Hobgard, Fulleton and Barclay s√©rie 35301 de la mine Niobec. ",Louis Germain,2016-11-17
122,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction √† tambour double Markham s√©rie B15024 de la mine Eleonore puits #2 Production ,Louis Germain,2016-11-17
123,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of DSI Holding GmbH Dynamic Omega Rock Bolts,Ren√©e Royer,2016-11-03
124,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of new Concept Mining Par-1 and MP-1 Rock Bolts,Ren√©e Royer,2016-11-03
125,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts, Application of the Transformation/Dissolution Protocol to determine the rate and extent of removal of metals from the water column for chronic hazard classification,Philippa Huntsman-Mapila,2016-10-26
126,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of PRETEC Yielding Rock Bolt,Ren√©e Royer,2016-10-17
127,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts," Evaluation of the CanmetENERGY prototype catalyzed diesel particulate filter: determination of the balance point temperature, L. Nossova, G. Caravaggio, B. Rubeli and D.Young (Natural Resources Canada)",Brent Rubeli,2016-10-06
128,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,From organics coversto amended tailing ‚Ä¶ a sustainable approach?,Suzanne Beauchemin,2016-10-03
129,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction  √† tambour double Bertram Nordberg s√©rie 13845 de la mine Bachelor,Louis Germain,2016-09-22
130,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Infra Management Yielding Rock Bolt,Ren√©e Royer,2016-09-15
131,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Jennmar Australia Cable Bolt,Ren√©e Royer,2016-09-15
132,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction √† tambour double ASEA  s√©rie 390,Louis Germain,2016-07-12
133,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,"CHARACTERIZATION, COMMINUTION, LEACHING AND ENCAPSULATION METHODS OF SURROGATE CEMENTED RADIOACTIVE WASTES",Jean Fran√ßois Fiset,2016-07-05
134,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction √† tambour double Bertram Nordberg BLH s√©rie 14122,Louis Germain,2016-07-05
135,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Piolt Scale Investigation Of Ore Traking Option In A Silo,Magela Bilodeau,2016-06-28
136,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction √† tambour double Davy Markham s√©rie B85014,Louis Germain,2016-06-12
137,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction Bertram Nordberg s√©rie 13082,Louis Germain,2016-06-12
138,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction √† poulie d‚Äôadh√©rence Westinghouse s√©rie 00MA173,Louis Germain,2016-06-11
139,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de l‚Äôinstallation motoris√©e de transport de personnel Davy Markham s√©rie B95023 du puits no 2 de production,Louis Germain,2016-06-10
140,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Proficiency Testing for Mineral Analysis Laboratories April 2016 (final report),Diane Desroches,2016-05-16
141,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,"Determination of Balance Point Temperature,  CanmetENERGY Catalyzed Diesel Particulate Filter (CDPF)",David Young,2016-05-03
142,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Performance Evaluation of Schauenburg Industries Ltd. Fiberglass Ventilation Ducting ‚Äì Leakage assessment,Michelle Levesque,2016-05-03
143,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Performance evalutation of G+ Speed Air Duct polyethylene ventilation ducting - Phase II,Stephen Hardcastle,2016-05-03
144,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,LONG TERM PERFORMANCE OF CRW RESEARCH TASK.B1 - FINE-TUNING OF THE COMMINUTION STRATEGY,Magela Bilodeau,2016-04-08
145,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Evaluation of Diesel Oxidation Catalysts for NO2 Formation,Mahe Gangal,2016-04-04
146,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Static and Dynamic Behaviours of Atlas Copco MN24 Swellex Bolts with Sleeves,Ren√©e Royer,2016-03-11
147,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Evaluation of Catalytic Exhaust Products DOCs for low  or No NO2 Production,Mahe Gangal,2016-03-10
148,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of RocBolt Technologies Yield-Lok Bolt (Jennmar),Ren√©e Royer,2016-03-07
149,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Sensitivity Study on Ventilation Parameter Changes ‚Äì Application in a Demand Based Ventilation System¬†,Gary Li,2016-02-12
150,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Processing Flowsheet Development for the Montviel Carbonaceous Rare Earth Bearing Ore¬†,Tesfaye Negeri,2016-02-05
151,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction Davy Markham s√©rie B15026,Louis Germain,2016-01-19
152,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Transformation/Dissolution Characteristics of Nickel Oxide Black and Three Nickel Concentrates,Jim Skeaff,2015-12-21
153,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing of Static and Dynamic Behaviours of,Ren√©e Royer,2015-12-04
154,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,"Solidification of the Residue from a Process for the Extraction or Recovery of Cesium, Mercury and Uranium from Cemented Radioactive Waste",Alain Bilodeau,2015-11-19
155,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Proficiency Testing Mineral for Mineral Analysis Laboratories - September 2015 cycle (final report),"Desroches, Diane",2015-11-18
156,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Laboratory Testing on JENNMAR Yield Lok Bolts,Ren√©e Royer,2015-11-04
157,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,K factor performance evaluation of MECANIVENT¬Æ co-polymer ventilation ducting,Stephen Hardcastle,2015-10-29
158,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,V√©rification de la machine d‚Äôextraction Wild / Markham s√©rie 407,Louis Germain,2015-10-29
159,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,"V√©rification de la machine d‚Äôextraction Fullerton, Hodgart & Barclay s√©rie 35301",Louis Germain,2015-10-23
160,Cost Recovery (CR) report / Rapport de recouvrement des co˚ts,Cemented Radioactive Waste ‚Äì Confirmation Tests Quarterly Report ‚Äì Q2,Jean Fran√ßois Fiset,2015-08-28
